24 HOUR VOLUME COUNT LOCATIONS,NB TOTAL,SB TOTAL,EB TOTAL, WB TOTOAL,TOTAL VOLUME,DATE
"10th St East, 1000 blk - West of Waller St",,,101,115,216,9/27/2005 0:00
"10th St East, 1200 blk - West of Navasota St",,,103,55,158,9/27/2005 0:00
"10th St East, 600 blk - East of Red River St",,,n/a,2240,2240,2/26/2009 0:00
"10th St East, 700 blk - West of IH35 WSR                     1-way WB",,,n/a,1599,1599,7/6/2005 0:00
"10th St West, 1000 blk - West of N. Lamar Blvd",,,373,288,661,1/24/2001 0:00
"10th St West, 1300 blk - West of Lorrain St",,,383,314,697,6/5/2007 0:00
"10th St West, 600 blk - West of Nueces St",,,1591,431,2022,1/11/2001 0:00
"10th St West, 800 blk - West of West Ave",,,2163,925,3088,1/30/2003 0:00
"10th St West, 900 blk - East of N. Lamar Blvd",,,2254,940,3194,1/30/2003 0:00
"11th St East, 1100 blk - East of Waller St",,,4185,3788,7973,6/26/2006 0:00
"11th St East, 600 blk - East of Red River St",,,6544,5387,11931,3/24/2009 0:00
"11th St West, 200 blk - East of Lavaca St",,,3568,5416,8984,7/19/2011 0:00
"12th St East, 1300 blk - East of San Bernard",,,3644,4813,8457,6/23/2014 0:00
"12th St East, 1300 blk - West of Angelina St",,,3701,4395,8096,10/27/2009 0:00
"12th St East, 1700 blk - East of Leona St",,,3393,4153,7546,10/27/2009 0:00
"12th St East, 400 blk - West of Red River St",,,1932,2084,4016,2/28/2005 0:00
"12th St East, 4500 blk - West of  Springdale Rd",,,2609,2709,5318,3/22/2005 0:00
"12th St East, 600 blk - East of Red River St",,,3658,3074,6732,3/4/2009 0:00
"12th St West, 1000 blk - West of N. Lamar Blvd",,,3335,2705,6040,2/26/2009 0:00
"12th St West, 1000 blk - West of N. Lamar Blvd",,,4094,2929,7023,1/24/2001 0:00
"12th St West, 1300 blk - East of Lorrain St",,,2917,4755,7672,4/28/2004 0:00
"12th St West, 1300 blk - East of Lorrain St",,,2000,2181,4181,9/10/2001 0:00
